Date,Platform,Brand,Comment,Likes,Shares,Followers
2025-01-01,Instagram,Nike,Great quality products,150,20,12000
2025-01-02,Twitter,Nike,Very expensive,80,5,12050
2025-01-03,Facebook,Adidas,Excellent service,120,15,9000
2025-01-04,Instagram,Puma,Amazing collection,110,12,7500
2025-01-05,Twitter,Adidas,Poor customer support,40,3,9200
2025-01-06,Facebook,Nike,Fast delivery,130,18,12200
2025-01-07,Instagram,Puma,Bad quality,25,2,7600
2025-01-08,Twitter,Adidas,Loved the product,140,20,9300
2025-01-09,Facebook,Nike,Average experience,60,5,12300
2025-01-10,Instagram,Adidas,Excellent customer care,170,25,9400
